"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/11 10:45:37 PM GMT+6","I Agree","24","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Rarely","Fair","Increased appetite","Rarely","High","Still enjoy activities","Frequently","No","Yes","Occasionally","Yes","4-7 days","Improving productivity","No significant change","No","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","3","Frequently","No","I attend social events or gatherings"
"2023/10/11 11:17:09 PM GMT+6","I Agree","32","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Work-related content","Frustration","1","Frequently","Occasionally","Poor","Loss of appetite","Occasionally","Moderate","Have lost interest","Almost all the time","No","Yes","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","No significant change","No","Yes","No change","Difficulty staying disconnected","Engage in outdoor activities","2","Rarely","Yes","I seek support from friends or family"
"2023/10/11 11:52:50 PM GMT+6","I Agree","19","Others","Employed (full-time)","3-4 hours","Smartphone","Often","Rarely","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Relaxation","2","Frequently","Occasionally","Excellent","Increased appetite","Rarely","High","Still enjoy activities","Frequently","No","No","Rarely","Yes","4-7 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","None, it was easy and enjoyable","Engage in outdoor activities","2","Rarely","Yes","I seek support from friends or family"
"2023/10/12 12:09:00 AM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Rarely","Good","No changes","Rarely","Moderate","Still enjoy activities","Frequently","No","Yes","Almost daily","Yes","4-7 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","4","Always","Yes","I prefer to cope alone"
"2023/10/12 2:16:12 AM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Frequently","Fair","No changes","Rarely","Moderate","Have lost interest","Occasionally","Yes","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Do something else","3","Rarely","Yes","I prefer to cope alone"
"2023/10/12 12:49:46 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Often","Occasionally","Yes","Multiple times a day","Less than 1 hour","No","Educational content","Anxiety","1","Frequently","Rarely","Very Poor","No changes","Occasionally","Moderate","Have lost interest","Frequently","Yes","No","Frequently","Yes","4-7 days","Improving productivity","Anxious or stressed","Yes","No","Used technology more mindfully","None, it was easy and enjoyable","Engage in outdoor activities","3","Never","Yes","I participate in online communities or forums"
"2023/10/12 2:29:21 PM GMT+6","I Agree","23","Male","Student","3-4 hours","Computer/Laptop","Often","Occasionally","Yes","Once a day","3-4 hours","Yes","Social media updates","Excitement","3","Not at all","Rarely","Fair","Loss of appetite","Occasionally","Moderate","Have lost interest","Rarely","Yes","Yes","Occasionally","Yes","1-3 days","Focusing on in-person relationships","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Set specific time limits for technology use","1","Rarely","Yes","I seek support from friends or family"
"2023/10/12 5:00:45 PM GMT+6","I Agree","23","Female","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Anxiety","2","Frequently","Occasionally","Fair","Weight gain","Frequently","Moderate","Still enjoy activities","Almost all the time","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","I avoid the mediums which trigger the stress or find a solution which can help to improve it.","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/12 5:11:48 PM GMT+6","I Agree","32","Male","Employed (full-time)","More than 6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Relaxation","4","Occasionally","Occasionally","Very Poor","Loss of appetite","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Occasionally","No","4-7 days","Improving productivity","Relaxed and refreshed","Yes","Yes","No change","Boredom","Take short breaks from screens","4","Frequently","Yes","I seek support from friends or family"
"2023/10/12 5:35:33 PM GMT+6","I Agree","26","Male","Employed (full-time)","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","5-6 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Almost all the time","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","5","Occasionally","Yes","I attend social events or gatherings"
"2023/10/12 7:12:50 PM GMT+6","I Agree","24","Male","Student","3-4 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Joy","1","Not at all","Never","Excellent","No changes","Never","Very low","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Never","Yes","I prefer to cope alone"
"2023/10/12 7:25:17 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Almost all the time","Almost all the time","Very Poor","Increased appetite","Frequently","Moderate","Still enjoy activities","Occasionally","No","No","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","Used technology less","FOMO (Fear of Missing Out)","Engage in outdoor activities","1","Frequently","Yes","I seek support from friends or family"
"2023/10/12 7:39:22 PM GMT+6","I Agree","24","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Relaxation","3","Not at all","Occasionally","Good","Weight gain","Frequently","Moderate","Have lost interest","Almost all the time","No","No","Rarely","Yes","More than a week","Improving productivity","No significant change","No","Yes","No change","Difficulty staying disconnected","Engage in outdoor activities","4","Rarely","Yes","I prefer to cope alone"
"2023/10/12 7:58:41 PM GMT+6","I Agree","24","Female","Employed (part-time)","More than 6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Never","Good","Weight gain","Occasionally","High","Still enjoy activities","Occasionally","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Practice mindfulness or meditation","4","Rarely","No","I seek support from friends or family"
"2023/10/12 7:58:58 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Sports","Relaxation","3","Frequently","Occasionally","Good","No changes","Never","Moderate","Still enjoy activities","Rarely","Yes","Yes","Occasionally","No","Less than a day","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","5","Occasionally","Yes","I prefer to cope alone"
"2023/10/12 8:00:47 PM GMT+6","I Agree","25","Male","Student","1-2 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Excitement","5","Occasionally","Rarely","Excellent","No changes","Rarely","Very High","Still enjoy activities","Rarely","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","Difficulty staying disconnected","Engage in outdoor activities","5","Frequently","Yes","I attend social events or gatherings"
"2023/10/12 8:02:29 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Computer/Laptop","Often","Often","Yes","Once a day","Less than 1 hour","Yes","Work-related content","Joy","1","Almost all the time","Occasionally","Poor","Weight loss","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Difficulty staying disconnected","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/12 8:04:43 PM GMT+6","I Agree","24","Male","Student","3-4 hours","Computer/Laptop","Always","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Rarely","Fair","Weight gain","Occasionally","Moderate","Still enjoy activities","Occasionally","Yes","No","Rarely","Yes","Less than a day","Focusing on in-person relationships","No significant change","No","No","Used technology less","Boredom","Engage in outdoor activities","4","Rarely","Yes","I seek support from friends or family"
"2023/10/12 8:21:30 PM GMT+6","I Agree","22","Male","Student","5-6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Frequently","Poor","Weight gain","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Improving productivity","Anxious or stressed","Yes","Yes","No change","Difficulty staying disconnected","Take short breaks from screens","4","Rarely","No","I prefer to cope alone"
"2023/10/12 8:22:48 PM GMT+6","I Agree","22","Female","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","5","Not at all","Occasionally","Good","No changes","Rarely","High","Still enjoy activities","Occasionally","No","Yes","Rarely","Yes","Less than a day","Focusing on in-person relationships","Relaxed and refreshed","No","Yes","No change","None, it was easy and enjoyable","Take short breaks from screens","3","Never","Yes","I prefer to cope alone"
"2023/10/12 9:06:11 PM GMT+6","I Agree","18","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Good","No changes","Rarely","High","Still enjoy activities","Rarely","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Frequently","Yes","I attend social events or gatherings"
"2023/10/12 10:46:23 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Good","No changes","Rarely","Low","Have lost interest","Frequently","Yes","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","Yes","Yes","Used technology less","I have never practiced digital detox","Take short breaks from screens","3","Rarely","No","I seek support from friends or family"
